#Title;Digilent WaveForms Oscilloscope Data
#Device Name;Analog Discovery
#Serial Number;SN:210244449474
#Software Version;2.4.4
Time (s);C1 (V);C2 (V)
5.363E-05;0.278265516240388;1.56685031851162
5.364E-05;0.280264426146965;1.56516916740849
5.365E-05;0.279931274495869;1.56180686520224
5.366E-05;0.279264971193677;1.56348801630537
5.367E-05;0.278931819542581;1.56247932564349
5.368E-05;0.278931819542581;1.56180686520224
5.369E-05;0.278265516240388;1.55978948387849
5.37E-05;0.279598122844773;1.56079817454036
5.371E-05;0.280264426146965;1.55878079321661
5.372E-05;0.279931274495869;1.55071126792161
5.373E-05;0.279598122844773;1.56348801630537
5.374E-05;0.279264971193677;1.55407357012786
5.375E-05;0.280930729449157;1.55709964211349
5.376E-05;0.280597577798061;1.55440980034849
5.377E-05;0.279264971193677;1.55440980034849
5.378E-05;0.278598667891484;1.55642718167224
5.379E-05;0.278931819542581;1.55205618880411
5.38E-05;0.281930184402446;1.55541849101036
5.381E-05;0.28159703275135;1.55239241902473
5.382E-05;0.280930729449157;1.55373733990724
5.383E-05;0.279598122844773;1.54936634703911
5.384E-05;0.280930729449157;1.55104749814223
5.385E-05;0.280597577798061;1.55272864924536
5.386E-05;0.279931274495869;1.55306487946599
5.387E-05;0.28159703275135;1.55474603056911
5.388E-05;0.279264971193677;1.55440980034849
5.389E-05;0.282596487704638;1.55609095145161
5.39E-05;0.279264971193677;1.55575472123099
5.391E-05;0.280597577798061;1.55474603056911
5.392E-05;0.280597577798061;1.55709964211349
5.393E-05;0.281263881100254;1.55676341189286
5.394E-05;0.279264971193677;1.56012571409911
5.395E-05;0.279598122844773;1.55777210255474
5.396E-05;0.281263881100254;1.55743587233411
5.397E-05;0.279598122844773;1.56348801630537
5.398E-05;0.280264426146965;1.56046194431974
5.399E-05;0.279598122844773;1.56449670696724
5.4E-05;0.282596487704638;1.56247932564349
5.401E-05;0.280264426146965;1.56584162784974
5.402E-05;0.282596487704638;1.56685031851162
5.403E-05;0.283595942657927;1.56685031851162
5.404E-05;0.278598667891484;1.56315178608474
5.405E-05;0.280597577798061;1.56685031851162
5.406E-05;0.281930184402446;1.56483293718787
5.407E-05;0.280264426146965;1.55945325365786
