#Title	Digilent WaveForms Network Analyzer Data
#Device Name	DEMO Discovery
#Serial Number	DEMO Discovery
#Software Version	2.4.4
Frequency (Hz)	Channel 1 (gain)	Channel 2 (gain)	Channel 2 (deg)
146119.959287982	1.011471	0.271103	-20.689774
147679.708040784	1.011270	0.269438	-23.521731
149256.106238219	1.013358	0.267562	-22.114220
150849.331603786	1.010972	0.268676	-20.160243
152459.563758083	1.010100	0.259665	-21.460313
154086.984239058	1.012272	0.268991	-24.393568
155731.776522475	1.011353	0.264495	-23.672741
157394.126042597	1.013443	0.250689	-23.308011
159074.220213096	1.011926	0.272637	-25.218116
160772.248448181	1.010557	0.259522	-23.898903
162488.402183949	1.010797	0.260233	-25.162097
164222.874899971	1.011024	0.269234	-24.541700
165975.862141105	1.011055	0.255359	-24.652849
167747.56153954	1.010477	0.273191	-25.027175
169538.172837079	1.011405	0.267062	-25.380915
171347.897907655	1.012205	0.250745	-25.803283
173176.940780094	1.011595	0.264738	-24.640826
175025.507661116	1.011428	0.257428	-25.118455
176893.806958579	1.009641	0.256668	-26.170692
178782.049304981	1.010933	0.253465	-25.218591
180690.447581203	1.011699	0.265309	-26.446394
182619.216940512	1.011331	0.248354	-24.882840
184568.574832813	1.011351	0.268727	-27.887849
186538.741029169	1.010799	0.267709	-25.728843
188529.937646574	1.009283	0.261538	-25.688296
190542.389172998	1.009636	0.262004	-28.820464
192576.322492695	1.010269	0.263139	-29.380868
194631.96691178	1.009803	0.258706	-26.484100
196709.554184083	1.010286	0.259083	-27.046924
198809.318537276	1.010677	0.265764	-29.201131
200931.496699281	1.010309	0.263414	-27.741428
203076.327924958	1.009431	0.264439	-30.152692
205244.054023077	1.009040	0.272534	-28.286701
207434.919383583	1.010057	0.257718	-30.056943
209649.171005147	1.009607	0.260726	-29.983061
211887.058523011	1.009776	0.261492	-29.106310
214148.834237134	1.007306	0.250781	-28.106790
216434.753140637	1.009012	0.262250	-31.350125
218745.072948549	1.009726	0.265380	-29.926514
221080.054126861	1.008751	0.258635	-32.469902
223439.959921895	1.010541	0.259541	-32.001628
225825.05638998	1.008707	0.258051	-33.144052
228235.612427445	1.007659	0.260403	-30.230840
230671.899800939	1.009724	0.267436	-30.510673
233134.193178068	1.009017	0.260790	-31.361046
235622.770158359	1.008628	0.275318	-30.246159
238137.911304559	1.008739	0.261161	-32.528383
240679.900174268	1.008633	0.255574	-30.728133
243249.0233519	1.008997	0.265369	-32.248673
245845.570481001	1.008107	0.264701	-32.527133
248469.834296898	1.008608	0.263905	-32.958816
251122.110659703	1.005563	0.270359	-33.488950
253802.698587672	1.007613	0.269333	-34.468520
256511.900290909	1.008130	0.263188	-33.328279
259250.021205446	1.008807	0.266355	-33.098804
262017.370027672	1.007645	0.263208	-35.400751
264814.258749135	1.007964	0.262092	-34.207842
267641.002691722	1.008054	0.263107	-35.303359
270497.920543201	1.007873	0.267366	-36.056909
273385.334393155	1.007840	0.260443	-36.422784
276303.569769295	1.006442	0.260441	-36.123174
279252.955674154	1.006762	0.266469	-37.579875
282233.824622185	1.007580	0.259567	-37.749351
285246.512677248	1.006679	0.260762	-38.726804
288291.359490493	1.005675	0.268626	-37.746634
